kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
vectorAdd.1.sm_30.ptx 52 : 200192 1255520 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 49 : 200000 1077184 0 0 0 6250 6250 0 0 
vectorAdd.1.sm_30.ptx 48 : 200000 2243680 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 47 : 200000 1479296 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 46 : 200000 2243040 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 45 : 200000 107013440 0 0 0 6250 6250 0 0 
vectorAdd.1.sm_30.ptx 33 : 200192 1368160 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 32 : 200192 1347680 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 31 : 200192 663456 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 30 : 200192 684160 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 28 : 200192 2864064 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 29 : 200192 2769056 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 34 : 200192 1359488 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 35 : 200192 2678208 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 36 : 200192 1751680 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 37 : 200192 1248 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 39 : 200000 1598112 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 40 : 200000 2215104 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 41 : 200000 2362336 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 42 : 200000 1576960 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 43 : 200000 2335200 0 0 0 0 0 0 0 
vectorAdd.1.sm_30.ptx 44 : 200000 101744736 0 0 0 6250 6250 0 0 
